Episode: 0 Final Score: -5
3.0888 0 0 
2.8433 11.8578 11.8578 r
2.9441 12.4627 12.4627 r
3.0506 13.1016 13.1016 jr
3.1516 13.7076 13.7076 r
3.2559 14.3332 14.3332 r
3.3614 14.9666 14.9666 r
3.4622 15.571 15.571 r
3.5685 16.209 16.209 r
3.6739 16.8416 16.8416 r
3.7778 17.465 17.465 r
3.8848 18.1069 18.1069 r
3.9872 18.721 18.721 r
4.0939 19.3616 19.3616 r
4.1948 19.9668 19.9668 r
4.2956 20.5718 20.5718 r
4.3986 21.1893 21.1893 r
4.4989 21.7912 21.7912 r
4.6052 22.4294 22.4294 r
4.7106 23.0617 23.0617 r
4.8173 23.7017 23.7017 r
4.9233 24.3375 24.3375 r
5.0303 24.9797 24.9797 r
5.138 25.6259 25.6259 r
5.241 26.1905 26.1905 n
5.3417 26.1905 26.1905 n
5.4491 26.1905 26.1905 n
5.555 26.1905 26.1905 n
5.6608 26.1905 26.1905 n
5.7663 26.1905 26.1905 n
5.8733 26.1905 26.1905 n
5.9798 26.1921 26.1921 r
6.0827 26.3125 26.3125 r
6.1899 26.6401 26.6401 r
6.2941 27.1569 27.1569 r
6.3957 27.1569 27.1569 n
6.4975 27.1229 27.1229 l
6.6042 26.9072 26.9072 l
6.706 26.7198 26.7198 n
6.806 26.7198 26.7198 n
6.9123 26.7198 26.7198 n
7.0146 26.7213 26.7213 r
7.1159 26.8379 26.8379 r
7.2213 27.1578 27.1578 r
7.3216 27.6454 27.6454 r
7.4237 27.7374 27.7374 n
7.5239 27.7374 27.7374 n
7.6293 27.7374 27.7374 n
7.7304 27.7358 27.7358 l
7.8374 27.6077 27.6077 l
7.9414 27.2831 27.2831 l
8.0468 26.758 26.758 l
8.1491 26.758 26.758 n
8.2552 26.758 26.758 n
8.362 26.758 26.758 n
8.4662 26.6795 26.6795 l
8.5821 26.3613 26.3613 l
8.6823 25.8938 25.8938 l
8.7876 25.2668 25.2668 l
8.8907 25.2124 25.2124 n
8.9959 25.2124 25.2124 n
9.102 25.2124 25.2124 n
9.2085 25.2124 25.2124 n
9.3137 25.2124 25.2124 n
9.4193 25.2124 25.2124 n
9.5218 25.2441 25.2441 r
9.6271 25.4562 25.4562 r
9.7325 25.8685 25.8685 r
9.8346 25.8685 25.8685 n
9.9389 25.8685 25.8685 n
10.0453 25.7996 25.7996 l
10.1511 25.5323 25.5323 l
10.2581 25.0565 25.0565 l
10.3653 24.4235 24.4235 l
10.4659 23.8199 23.8199 l
10.5683 23.2054 23.2054 l
10.6729 22.8708 22.8708 n
10.7785 22.8708 22.8708 n
10.8811 22.8708 22.8708 n
10.9826 22.8708 22.8708 n
11.0898 22.8708 22.8708 n
11.1966 22.8708 22.8708 n
11.3046 22.8708 22.8708 n
11.4095 22.8708 22.8708 n
11.5099 22.8708 22.8708 n
11.6158 22.8708 22.8708 n
11.7222 22.8708 22.8708 n
11.8274 22.8708 22.8708 n
11.9331 22.8708 22.8708 n
12.047 22.8708 22.8708 n
12.154 22.8708 22.8708 n
12.261 22.8708 22.8708 n
12.3674 22.8708 22.8708 n
12.4723 22.9383 22.9383 r
12.5789 23.2061 23.2061 r
12.6841 23.6712 23.6712 r
12.7844 24.2615 24.2615 r
12.8912 24.9027 24.9027 r

Episode: 2 Final Score: 0
0 0 0 
0.3533 2 2 r
0.4585 2.6308 2.6308 r
0.5657 3.2743 3.2743 r
0.6684 3.8905 3.8905 jr
0.7693 4.4961 4.4961 r
0.8777 5.1465 5.1465 r
0.9812 5.767 5.767 r
1.0883 6.4097 6.4097 r
1.1952 7.0511 7.0511 r
1.2954 7.6525 7.6525 r
1.399 8.2741 8.2741 r
1.4997 8.8783 8.8783 r
1.6065 9.5188 9.5188 r
1.7066 10.1197 10.1197 r
1.8149 10.7695 10.7695 jr
1.9209 11.4052 11.4052 r
2.027 12.0419 12.0419 r
2.1325 12.6752 12.6752 r
2.235 13.2903 13.2903 r
2.3356 13.8935 13.8935 r
2.4404 14.5224 14.5224 r
2.5492 15.1753 15.1753 r
2.6543 15.8056 15.8056 r
2.7548 16.4087 16.4087 jr
2.8633 17.0597 17.0597 r
2.9655 17.6731 17.6731 r
3.0666 18.2796 18.2796 r
3.1754 18.9326 18.9326 r
3.2765 19.5393 19.5393 r
3.3817 20.1703 20.1703 r
3.4899 20.8192 20.8192 r
3.5912 21.4271 21.4271 r
3.6917 22.0303 22.0303 r
3.7954 22.6524 22.6524 r
3.8989 23.2733 23.2733 r
4.005 23.9098 23.9098 r
4.1104 24.5424 24.5424 r
4.2139 25.1632 25.1632 r
4.3161 25.7769 25.7769 r
4.4169 26.3816 26.3816 r
4.5182 26.9889 26.9889 r
4.6186 27.5913 27.5913 r
4.7238 28.2226 28.2226 r
4.8286 28.2226 28.2226 n
4.9329 28.2226 28.2226 n
5.0372 28.159 28.159 l
5.1402 27.9077 27.9077 l
5.2408 27.4779 27.4779 l
5.344 26.8774 26.8774 l
5.4444 26.2752 26.2752 l
5.5461 25.6653 25.6653 l
5.6517 25.0313 25.0313 l
5.7526 24.4258 24.4258 l
5.8533 24.4258 24.4258 n
5.9599 24.4258 24.4258 n
6.065 24.4258 24.4258 n
6.1716 24.4258 24.4258 n
6.2781 24.4258 24.4258 n
6.3804 24.4258 24.4258 n
6.4837 24.4452 24.4452 r
6.5841 24.6195 24.6195 r
6.692 25.0119 25.0119 r
6.7925 25.5589 25.5589 r
6.8934 26.1645 26.1645 r
6.9939 26.7675 26.7675 r
7.0962 27.3811 27.3811 r
7.2035 27.7714 27.7714 n
7.3084 27.7714 27.7714 n
7.4138 27.7714 27.7714 n
7.5173 27.7714 27.7714 n
7.6178 27.7714 27.7714 n
7.7194 27.7714 27.7714 n
7.8266 27.7714 27.7714 n
7.9336 27.77 27.77 l
8.0359 27.6523 27.6523 l
8.1429 27.3251 27.3251 l
8.2501 26.7934 26.7934 l
8.352 26.2913 26.2913 n
8.4551 26.2913 26.2913 n
8.5615 26.2913 26.2913 n
8.6687 26.2913 26.2913 n
8.7748 26.2913 26.2913 n
8.8761 26.2913 26.2913 n
8.9825 26.2913 26.2913 n

Episode: 3 Final Score: 0
9.0986 0 0 
9.2021 0 0 n
9.3085 0 0 n
9.4133 0 0 n
9.5168 0 0 n
9.6209 0 0 n
9.7219 0 0 n
9.8269 0 0 n
9.933 0 0 n
10.0352 0.0191 0.0191 r
10.1408 0.2063 0.2063 r
10.2415 0.5715 0.5715 r
10.348 1.1515 1.1515 r
10.4528 1.7799 1.7799 r
10.5593 2.419 2.419 r
10.6673 3.0671 3.0671 r
